,City,Country,Latitude,Longitude,Temperature High,Temperature Low,Feels Like Temp.,Humidity,Cloudiness,Wind Speed
81,Freeport,US,40.6576,-73.5832,77.36,67.05,73.58,88,1,5.01
82,Sioux Lookout,CA,50.1001,-91.917,59.38,57.27,56.84,88,90,4.61
83,Acarí,PE,-15.4311,-74.6158,65.57,65.57,64.83,64,32,2.42
84,Tuktoyaktuk,CA,69.4541,-133.0374,68.0,68.0,67.93,73,20,3.44
85,Lorengau,PG,-2.0226,147.2712,83.77,83.77,89.98,70,95,6.11
86,Chui,UY,-33.6971,-53.4616,40.66,40.66,36.82,90,0,5.59
87,Leningradskiy,RU,69.3833,178.4167,37.53,37.53,33.57,91,100,5.01
88,Namatanai,PG,-3.6667,152.4333,83.16,83.16,88.99,71,94,6.24
89,Aksu,CN,41.1231,80.2644,77.2,77.2,76.69,44,49,3.38
90,Avarua,CK,-21.2078,-159.775,77.05,77.05,78.37,83,20,13.8
91,Hasaki,JP,35.7333,140.8333,97.29,86.4,101.68,71,29,10.29
92,Gazli,UZ,40.1333,63.45,97.39,97.39,93.72,18,33,16.15
93,Coyhaique,CL,-45.5752,-72.0662,40.95,40.95,38.95,93,20,3.44
94,Codrington,AU,-38.2667,141.9667,49.59,49.59,41.74,61,80,28.19
95,Chicama,PE,-7.8447,-79.1469,64.17,64.17,64.24,84,6,4.36
96,Barrow,US,71.2906,-156.7887,46.42,46.42,42.91,87,90,6.91
97,Bengkulu,ID,-3.8004,102.2655,83.61,83.61,88.75,67,60,5.12
98,Kapaa,US,22.0752,-159.319,84.18,77.18,79.12,77,20,4.0
99,La Ronge,CA,55.1001,-105.2842,57.42,55.65,55.06,88,20,0.0
100,Ulverstone,AU,-41.15,146.1667,50.29,45.99,48.02,64,100,15.21
101,Nishihara,JP,26.1842,127.7558,78.85,76.66,80.38,92,90,27.63
102,Marsh Harbour,BS,26.5412,-77.0636,82.44,82.44,89.04,77,7,13.71
103,Clyde River,CA,70.4692,-68.5914,37.63,37.63,32.34,81,90,6.91
104,Mehkar,IN,20.1508,76.569,78.73,78.73,78.73,73,100,17.16
105,Westport,US,41.1415,-73.3579,75.18,65.55,70.38,91,40,1.01
106,Bandi̇̄pur,NP,27.9333,84.4167,68.81,68.81,69.85,95,100,1.01
107,Nikolskoye,RU,59.7035,30.7861,63.81,60.78,61.93,74,7,6.87
108,Níjar,ES,36.9665,-2.206,70.65,64.89,70.75,88,0,2.3
109,Sakakah,SA,29.9697,40.2064,92.77,92.77,88.36,13,52,3.56
110,Arraial do Cabo,BR,-22.9661,-42.0278,65.61,65.61,64.54,57,44,26.53
111,Bubaque,GW,11.2833,-15.8333,81.05,81.05,86.74,81,70,11.21
112,Upernavik,GL,72.7868,-56.1549,40.62,40.62,32.97,98,100,13.91
113,Alofi,NU,-19.0595,-169.9187,78.69,78.69,79.93,78,5,9.22
114,Moryakovskiy Zaton,RU,56.6956,84.6467,69.03,67.1,67.73,55,13,1.88
115,Al Bardīyah,LY,31.7561,25.0865,78.08,78.08,79.16,76,0,8.63
116,Saurimo,AO,-9.6608,20.3916,54.03,54.03,51.49,50,8,5.55
117,College,US,64.8569,-147.8028,82.35,74.21,77.68,39,20,3.44
118,Narsaq,GL,60.9167,-46.05,44.82,44.82,44.82,92,94,1.34
119,Muros,ES,42.7762,-9.0603,65.98,62.83,64.49,89,60,2.93
120,Shimoda,JP,34.6667,138.95,87.1,84.56,98.85,72,20,8.37
121,Padang,ID,-0.9492,100.3543,89.65,89.65,100.54,63,96,3.76
122,Havøysund,NO,70.9963,24.6622,44.83,43.68,35.56,78,100,26.62
123,Fairbanks,US,64.8378,-147.7164,82.36,74.23,77.86,39,1,0.0
124,Ngunguru,NZ,-35.6167,174.5,59.16,59.16,57.6,60,37,3.78
125,Provideniya,RU,64.3833,-173.3,48.31,48.31,46.58,81,90,4.47
126,São Filipe,CV,14.8961,-24.4956,74.03,74.03,75.18,86,60,7.49
127,Kaitangata,NZ,-46.2817,169.8464,47.93,47.93,47.16,72,100,3.2
128,Wilmington,US,34.2257,-77.9447,76.91,71.85,75.51,91,1,6.91
129,Bāndarban,BD,22.1965,92.2262,82.11,82.11,90.14,84,100,2.75
130,Lebu,CL,-37.6167,-73.65,52.18,52.18,51.42,92,93,9.8
131,Arman',RU,59.7,150.1667,63.61,63.61,62.35,57,73,6.15
132,Deming,US,32.2687,-107.7586,80.49,77.18,80.56,44,1,11.5
133,Saskylakh,RU,71.9167,114.0833,58.69,58.69,57.51,69,99,12.95
134,Bilibino,RU,68.0546,166.4372,62.35,62.35,59.97,36,67,2.57
135,Kabare,CD,-2.4683,28.8242,62.49,62.49,61.92,74,97,0.67
136,Ambulu,ID,-8.345,113.6058,86.31,86.31,88.95,52,5,5.3
137,Launceston,AU,-41.45,147.1667,49.8,45.48,45.84,72,75,7.0
138,Vostok,RU,46.4856,135.8833,88.86,88.86,89.37,41,24,6.98
139,Mackay,AU,-21.15,149.2,76.98,76.98,76.44,44,0,9.22
140,Hong Kong,HK,22.2855,114.1577,79.32,78.04,80.65,95,100,11.01
141,Tela,HN,15.7833,-87.45,81.09,73.54,78.69,87,100,6.85
142,Bolgatanga,GH,10.7856,-0.8514,76.91,76.91,78.06,80,100,6.53
143,Pevek,RU,69.7008,170.3133,37.76,37.76,30.22,82,5,11.52
144,Garoowe,SO,8.4054,48.4845,75.07,75.07,75.24,63,88,26.26
145,Lunenburg,CA,44.3835,-64.3155,70.41,60.8,67.37,99,100,13.8
146,Chapais,CA,49.7834,-74.8492,51.58,51.58,50.67,90,100,5.88
147,Sterling,US,39.0062,-77.4286,76.6,66.97,73.15,83,1,5.01
148,Rāmpura,IN,30.25,75.2333,82.94,82.94,91.15,80,100,15.23
149,Mandalgovi,MN,45.7625,106.2708,79.86,79.86,79.86,39,97,11.21
150,Maniitsoq,GL,65.4167,-52.9,42.37,42.37,33.67,92,99,19.6
151,Guéret,FR,46.1667,1.8667,65.03,53.24,52.74,95,5,4.59
152,Tapes,BR,-30.6733,-51.3958,45.54,45.54,41.74,84,0,7.14
153,Gorontalo,ID,0.5412,123.0595,87.51,87.51,94.12,60,38,4.59
154,San Ignacio,BZ,17.1561,-89.0714,75.34,75.34,77.0,94,0,0.0
155,Sosnogorsk,RU,63.6023,53.8817,63.09,63.09,62.53,73,63,7.99
156,Jacareacanga,BR,-6.2222,-57.7528,72.05,72.05,71.55,55,0,2.35
157,Castro,BR,-24.7911,-50.0119,36.7,36.7,36.7,61,40,2.93
158,Airai,TL,-8.9266,125.4092,75.58,75.58,74.71,40,35,4.61
159,Cape Town,ZA,-33.9258,18.4232,53.11,51.12,51.51,84,40,3.0
160,Chauk,MM,20.8833,94.8167,85.68,85.68,93.47,68,100,8.39
161,Ensley,US,30.5188,-87.2728,78.53,71.38,75.31,97,1,0.0
162,Quatre Cocos,MU,-20.2078,57.7625,73.09,71.71,73.02,62,8,19.37
163,Severo-Kuril'sk,RU,50.6789,156.125,51.82,51.82,51.12,94,100,6.55
164,Cherskiy,RU,68.75,161.3,62.28,62.28,59.99,38,100,8.46
165,Kibala,TD,9.1104,18.3463,76.95,76.95,78.48,88,20,0.0
166,Mar del Plata,AR,-38.0023,-57.5575,48.0,41.02,44.91,71,0,1.01
167,Moindou,NC,-21.6924,165.677,73.35,73.35,73.96,76,74,5.21
168,Puerto Escondido,MX,15.85,-97.0667,83.23,83.23,87.49,65,75,0.0
169,Tuatapere,NZ,-46.1333,167.6833,46.81,46.81,44.17,77,100,5.5
170,Darhan,MN,49.4867,105.9228,71.73,71.73,71.28,57,68,1.61
171,Isla Vista,US,34.4133,-119.861,83.34,59.11,73.51,58,1,0.0
172,Phuket,TH,8.0,98.25,87.1,86.22,97.45,74,75,4.61
173,Dabat,ET,12.9842,37.765,53.92,53.92,53.24,90,100,3.87
174,Utrera,ES,37.1852,-5.7809,67.59,62.17,66.25,88,0,5.88
175,Omboué,GA,-1.5746,9.2618,71.1,71.1,72.05,88,87,5.55
176,Englewood,US,39.6478,-104.9878,81.52,66.22,74.66,38,20,1.01
177,Yatou,CN,37.15,122.3833,84.06,84.06,89.96,68,27,12.19
178,Moses Lake,US,47.1301,-119.2781,84.56,78.89,81.19,26,1,9.22
179,Pisco,PE,-13.7,-76.2167,62.65,61.02,62.47,82,90,4.61
180,Swellendam,ZA,-34.0226,20.4417,48.58,48.58,46.69,93,100,4.76
181,Saint George,US,37.1041,-113.5841,86.47,79.54,85.5,53,1,1.01
182,Valleyview,CA,55.0667,-117.2859,59.04,59.04,59.05,94,13,3.44
183,Fortuna,US,40.5982,-124.1573,57.09,53.94,55.78,90,20,6.91
184,Zhangye,CN,38.9342,100.4517,90.12,90.12,86.56,21,2,6.87
185,Līsakovsk,KZ,52.5369,62.4936,71.46,71.46,71.31,64,0,9.26
186,Kahului,US,20.8947,-156.47,80.62,76.68,79.03,76,40,29.93
187,Dikson,RU,73.5069,80.5464,40.03,40.03,34.09,80,61,9.08
188,Botou,CN,38.0667,116.5667,87.75,87.75,92.5,55,100,7.63
189,Chumikan,RU,54.7183,135.315,64.49,64.49,63.93,70,100,1.74
190,Mabaruma,GY,8.2,-59.7833,74.59,74.59,76.21,95,100,3.58
191,Waingapu,ID,-9.6567,120.2641,86.31,86.31,90.25,56,14,14.14
192,Ponta do Sol,PT,32.6667,-17.1,70.72,67.01,68.83,78,4,4.41
193,Nalgonda,IN,17.05,79.2667,83.1,83.1,87.03,64,100,17.92
194,São José dos Pinhais,BR,-25.5347,-49.2064,39.83,35.37,35.91,75,0,3.44
195,Anchorage,US,61.2181,-149.9003,72.28,64.67,67.77,72,40,8.05
196,Ekhabi,RU,53.5102,142.9671,64.92,64.92,63.9,59,1,8.25
197,El Tigre,VE,8.8875,-64.2454,72.82,72.82,74.03,90,97,7.9
198,Najrān,SA,17.4924,44.1277,77.65,77.65,77.97,61,100,9.01
199,Marawi,PH,7.9986,124.2928,84.49,84.49,84.9,46,82,5.79
200,Ilulissat,GL,69.2167,-51.1,42.82,42.82,37.45,81,75,9.22
201,Lavrentiya,RU,65.5833,-171.0,45.73,45.73,44.55,98,100,3.31
202,Kruisfontein,ZA,-34.0033,24.7314,55.87,55.87,55.06,83,100,5.86
203,Ngama,TD,11.7833,17.1667,73.9,73.9,74.66,78,95,5.86
204,Balkhash,KZ,46.844,74.9804,83.01,83.01,81.84,36,0,11.18
205,Dzaoudzi,YT,-12.7887,45.2699,76.89,76.89,78.19,83,20,11.5
206,Qaqortoq,GL,60.7167,-46.0333,45.1,45.1,45.1,89,82,1.12
207,Amos,CA,48.5669,-78.1162,55.67,54.18,54.01,99,100,6.67
208,Ust-Maya,RU,60.4167,134.5333,86.67,86.67,85.78,38,79,6.8
209,Khatanga,RU,71.9667,102.5,54.82,54.82,53.67,78,99,2.08
210,Simbahan,PH,6.3032,120.5836,83.39,83.39,89.47,71,47,7.31
211,Manihāri,IN,25.35,87.6333,86.61,86.61,98.53,74,100,9.46
212,Soyo,AO,-6.1349,12.3689,69.58,69.58,70.47,90,7,5.46
213,Sinnamary,GF,5.3833,-52.95,77.14,77.14,78.66,87,98,4.47
214,Poya,NC,-21.35,165.15,72.01,72.01,72.68,80,80,4.0
215,Orán,AR,-23.1322,-64.326,50.43,46.38,47.59,52,0,1.79
216,Yulara,AU,-25.2406,130.9889,76.84,76.84,75.25,22,58,4.61
217,Kayes,ML,14.0,-11.0,74.93,74.93,75.6,74,100,6.91
218,Pemangkat,ID,1.1667,108.9667,85.33,85.33,93.47,70,44,4.92
219,Ahipara,NZ,-35.1667,173.1667,57.79,57.79,56.75,74,67,5.14
220,Sheikhpura,IN,25.15,85.85,90.84,90.84,101.73,60,97,6.8
221,Rundu,NA,-17.9333,19.7667,44.83,44.83,41.45,44,10,6.11
222,Boguchany,RU,58.3814,97.4531,71.53,71.53,70.88,53,99,3.42
223,Laas,IT,46.6166,10.7002,61.68,50.74,59.63,93,7,4.41
224,Brumado,BR,-14.2036,-41.6653,68.81,68.81,67.98,55,0,3.96
225,Paita,PE,-5.0892,-81.1144,65.37,65.37,65.52,83,0,8.95
226,Los Llanos de Aridane,ES,28.6585,-17.9182,65.95,65.95,66.15,83,90,14.97
227,Idlib,SY,35.9306,36.6339,76.39,76.39,77.2,74,0,8.95
228,Nouadhibou,MR,20.931,-17.0347,76.98,76.98,78.04,78,98,5.75
229,Linqing,CN,36.8456,115.7117,81.97,81.97,86.16,69,100,3.87
230,Galatone,IT,40.1429,18.0704,70.84,68.65,71.08,100,20,3.44
231,Naliya,IN,23.2667,68.8333,83.41,83.41,91.71,78,100,23.87
232,Ibicaraí,BR,-14.865,-39.5875,66.92,66.92,67.96,99,39,1.86
233,Porto Belo,BR,-27.1578,-48.5531,54.16,41.79,47.61,75,0,5.35
234,Avera,US,33.194,-82.5271,77.72,71.71,75.36,91,100,2.53
235,Geraldton,AU,-28.7667,114.6,58.12,57.61,57.22,88,90,28.77
236,Antalaha,MG,-14.9003,50.2788,69.03,69.03,69.82,89,90,7.72
237,Acajutla,SV,13.5928,-89.8275,80.82,80.82,84.79,73,46,7.18
238,Mehamn,NO,71.0357,27.8492,44.78,44.55,35.01,76,40,27.63
239,Cabo San Lucas,MX,22.8909,-109.9124,87.62,78.94,96.31,73,16,9.24
240,Dentsville,US,34.064,-80.9582,74.03,70.95,73.63,97,90,1.01
241,Ancud,CL,-41.8697,-73.8203,51.33,46.22,45.18,95,100,3.22
242,Ulaangom,MN,49.9811,92.0667,73.58,73.58,72.61,42,4,6.49
243,Pālanpur,IN,24.1667,72.4333,82.4,82.4,88.18,74,100,16.93
244,Jalu,LY,29.0331,21.5482,75.18,75.18,75.18,59,0,8.1
245,Dauphin,CA,51.1494,-100.0502,60.94,60.94,59.74,64,1,4.61
246,Zyryanka,RU,65.75,150.85,74.59,74.59,73.26,32,99,12.82
247,Shumskiy,RU,54.8318,99.1328,78.62,78.62,78.3,45,87,2.15
248,Jiangyou,CN,31.7667,104.7167,85.42,85.42,91.04,63,8,5.55
249,Ust'-Kut,RU,56.7938,105.7672,82.58,82.58,81.0,31,61,2.42
250,Griffith,US,41.5284,-87.4237,73.51,63.21,67.69,83,1,0.0
251,Haines Junction,CA,60.7522,-137.5108,67.95,67.95,67.26,60,76,2.3
252,Somerset West,ZA,-34.084,18.8211,53.08,51.06,50.43,84,100,1.99
253,Mishan,CN,45.55,131.8833,93.36,93.36,98.56,45,62,5.48
254,Pacific Grove,US,36.6177,-121.9166,70.75,53.42,55.38,90,90,1.99
255,Deputatsky,RU,69.3,139.9,66.22,66.22,65.08,54,43,21.65
256,Paraíso,CR,9.8383,-83.8656,68.86,66.88,67.32,83,98,4.03
257,Funehikimachi-funehiki,JP,37.4333,140.5833,94.75,82.02,96.78,43,72,2.84
258,Grand Gaube,MU,-20.0064,57.6608,73.38,72.0,73.15,58,0,10.0
259,Iquique,CL,-20.2208,-70.1431,55.44,55.44,54.34,78,89,4.12
260,Emerald,AU,-23.5333,148.1667,72.34,71.74,69.69,23,0,11.5
261,Yerbogachën,RU,61.2767,108.0108,77.5,77.5,76.6,35,36,1.07
262,Rybnoye,RU,54.7256,39.5119,68.56,68.56,69.01,83,55,7.72
263,Isangel,VU,-19.55,169.2667,77.7,77.7,78.89,79,54,3.67
264,Hobyo,SO,5.3505,48.5268,76.82,76.82,77.95,80,78,24.29
265,Faya,SA,18.3851,42.4509,62.71,61.32,60.12,63,100,3.06
266,Kalispell,US,48.1958,-114.3129,79.68,73.44,75.31,57,1,3.44
267,Dwārka,IN,22.2394,68.9678,83.75,83.75,92.59,78,100,26.19
268,Arrondissement d'Ajaccio,FR,42.0,8.9167,68.05,55.56,64.47,73,0,8.05
269,Furtwangen im Schwarzwald,DE,48.05,8.2,54.77,46.65,50.05,84,3,2.48
270,Maple Creek,CA,49.9168,-109.4848,65.97,63.09,64.81,88,100,6.91
271,Pochutla,MX,15.7432,-96.4661,81.45,78.82,78.82,89,98,4.83
272,Tura,IN,25.5198,90.2201,82.02,82.02,89.62,83,100,3.49
273,Staritsa,RU,56.5075,34.9354,61.88,61.88,60.73,63,19,6.71
274,Kropotkin,RU,45.4375,40.5756,79.92,79.92,79.92,48,0,5.82
275,Thunder Bay,CA,48.4001,-89.3168,66.18,66.11,66.04,77,90,3.44
276,Hambantota,LK,6.1241,81.1185,88.14,88.14,100.6,70,20,10.36
277,Port Townsend,US,48.117,-122.7605,69.15,57.49,61.52,76,1,14.0
278,Cueto,CU,20.6439,-75.9356,79.32,79.32,79.32,90,42,5.03
279,Tual,ID,-5.6667,132.75,80.46,80.46,85.53,82,54,17.96
280,Boa Vista,BR,2.8197,-60.6733,76.98,76.98,78.28,83,20,4.61
281,Bandundu Province,CD,-3.3167,17.3667,69.96,69.96,68.59,41,77,2.91
282,São João da Barra,BR,-21.6403,-41.0511,65.43,65.43,64.2,54,48,17.07
283,Sola,VU,-13.8833,167.55,79.95,79.95,79.95,74,13,11.18
284,Marfino,RU,55.7028,37.3822,70.88,65.98,67.03,82,0,6.71
285,Yokadouma,CM,3.5167,15.05,69.82,69.82,71.01,96,100,1.92
286,Santo Antônio da Platina,BR,-23.295,-50.0772,46.18,46.18,43.93,57,97,4.72
287,Puerto Nariño,CO,-3.7703,-70.3831,73.35,73.35,74.37,85,100,0.56
288,Kavieng,PG,-2.5744,150.7967,84.06,84.06,90.59,70,98,8.52
289,Kiruna,SE,67.8557,20.2251,43.72,43.72,39.09,65,32,8.05
290,Ostrovnoy,RU,68.0531,39.5131,53.73,53.73,52.38,76,100,11.72
291,Champerico,GT,14.3,-91.9167,82.29,81.36,87.49,74,60,4.79
292,Varca,IN,15.2167,73.9167,80.6,80.6,89.31,100,90,9.22
293,Reni,UA,45.4573,28.2932,75.47,75.47,76.53,81,27,10.25
294,Bukachacha,RU,52.9833,116.9167,79.45,79.45,79.45,53,77,7.94
295,Kizner,RU,56.2749,51.508,73.67,73.67,73.65,62,92,5.41
296,Igarka,RU,67.4667,86.5833,58.33,58.33,56.21,50,0,7.14
297,Zanjān,IR,36.6736,48.4787,65.89,65.89,64.96,59,0,4.61
298,Yangi Marg`ilon,UZ,40.4272,71.7189,85.42,83.12,81.93,36,38,4.61
299,Laguna,US,38.421,-121.4238,89.44,67.91,80.53,43,1,1.99
300,Ust'-Ilimsk,RU,58.0006,102.6619,81.19,81.19,80.42,36,23,6.08
301,Carutapera,BR,-1.195,-46.02,75.24,75.24,76.69,90,3,4.29
302,Sendafa,ET,9.15,39.0333,54.12,54.12,53.74,96,100,6.51
303,Kosa,RU,59.9445,54.9977,72.09,72.09,71.96,63,64,5.93
304,Khani,GE,41.9563,42.9566,69.37,69.37,68.59,55,0,1.48
305,San Cristobal,VE,7.7669,-72.225,62.98,62.98,63.39,94,82,4.07
306,Nordborg,DK,55.0573,9.7408,57.94,51.42,53.19,85,40,8.05
307,Kamaishi,JP,39.2667,141.8833,94.15,94.15,106.75,67,28,5.23
308,Alice Springs,AU,-23.7,133.8833,74.75,74.21,72.32,21,7,11.99
309,Torbay,CA,47.6666,-52.7314,63.75,59.88,61.05,86,90,6.91
310,Kara-Tyube,RU,44.6336,45.4369,85.32,85.32,83.82,35,0,1.61
311,Beringovskiy,RU,63.05,179.3167,45.88,45.88,40.19,96,100,12.12
312,Kovdor,RU,67.5662,30.4758,46.72,46.72,42.62,83,65,8.37
313,Avilés,ES,43.5547,-5.9248,65.93,63.79,65.07,93,90,4.0
314,Pangnirtung,CA,66.1451,-65.7125,40.08,40.08,37.31,98,100,4.12
315,Bloemfontein,ZA,-29.1211,26.214,22.48,22.48,22.48,68,0,0.0
316,Kondinskoye,RU,59.6481,67.41,70.23,70.23,70.05,66,27,5.5
317,Talnakh,RU,69.4865,88.3972,60.06,60.06,57.97,47,9,8.75
318,Kalmunai,LK,7.4167,81.8167,86.63,86.63,90.14,54,54,5.44
319,Gamba,GA,-2.65,10.0,69.84,69.84,70.84,92,3,4.18
320,Coquimbo,CL,-29.9533,-71.3436,47.93,47.93,44.22,100,75,8.05
321,Dubăsari,MD,47.2631,29.1608,74.28,72.39,75.4,85,100,7.85
322,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,53.46,51.04,54,0,20.71
323,Trincomalee,LK,8.5711,81.2335,84.63,84.63,90.82,67,97,20.89
324,Sambava,MG,-14.2667,50.1667,69.76,69.76,70.57,88,56,13.13
325,Steamboat Springs,US,40.485,-106.8317,74.79,67.71,71.62,31,1,0.0
326,Chernyshevskiy,RU,63.0128,112.4714,74.17,74.17,73.17,40,90,2.91
327,Mabai,CN,23.0128,104.4508,65.66,65.66,66.34,94,100,1.3
328,Ixtapa,MX,20.7,-105.2,75.22,75.22,76.91,95,94,1.99
329,Gambo,CF,4.6482,22.2633,66.83,66.83,67.82,98,99,0.31
330,Yarmouth,US,41.7057,-70.2286,70.99,64.24,67.68,93,40,5.99
331,Souillac,MU,-20.5167,57.5167,73.36,71.98,71.69,60,40,16.11
